0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.340494,0.56504935,-0.25633594,-0.039254215,0.39145827,-1.0872376,0.27291393,2.0072713,-0.685239,0.28973916,-2.2641823,0.53479004,0.43925172,0.44053176,0.096918344,0.98516864
2.244513,-1.5977807,0.67685497,0.20770063,-0.864954,0.11030397,1.5694447,1.0321507,0.592771,0.45311546,1.6029773,0.8741812,-0.7867365,1.0631677,0.7823162,-1.50723
0.6937538,0.44791317,1.4457064,0.9202777,1.0190367,0.25572917,1.1558766,0.18782413,1.747647,1.4291635,-0.9117914,0.4626812,0.4074164,0.845678,-1.3062055,-0.97725147
0.5558109,-0.51859707,0.38239893,-0.6888667,-2.0085948,1.3426477,-1.1067861,0.33962014,-0.77465564,-2.3248687,0.053864572,0.41873947,-0.4251778,-0.014391093,1.4377354,0.78858215
-0.1073615,0.07449235,-0.81492317,0.44420987,-0.66217995,1.4163392,0.20305678,-0.4546936,0.89260536,0.019191336,-0.31909728,0.67685014,-0.57863086,0.26648018,-1.1297364,-1.7341572
0.3928396,-1.1691499,0.64818627,1.9679879,0.46904302,0.053394694,1.1015435,0.52767193,0.5451991,0.7243659,-0.5784625,-0.9381359,0.50739396,-1.5345522,1.3349705,2.4583018
1.500464,-0.1949397,0.020767178,-0.32018295,-0.7536302,-1.3918712,-0.08948003,-0.02223858,0.38988334,-2.487319,0.4430344,0.28851366,-0.88339996,-1.1646066,1.0121015,-0.39679053
1.0848461,-1.3469476,-0.757853,-0.23719878,-0.66491693,-1.5216308,-0.2643168,0.13516775,-1.2261312,-0.6366951,0.088799424,-0.91296536,0.8482413,0.6992797,-0.10770573,-0.90586317
-0.11970311,-1.1608949,1.0984963,-0.1869734,0.1672669,-1.3839178,0.26015705,0.7777603,-1.7467908,0.25693965,-0.9375561,3.2070425,0.60773873,1.8197834,1.0782905,-0.6668605
0.09416619,-0.69238186,0.37847707,-0.15157454,0.46954748,0.4240974,-0.41475996,-0.029008716,0.5527811,-0.599896,-0.5414452,-0.7156793,1.9834839,-0.05274495,0.009223396,-0.11832374
1.6862932,0.8326941,0.07762285,-1.5127596,0.1557667,0.89540213,-0.51559067,0.6911646,0.1612396,-1.0596868,0.7591114,1.0785462,-0.12660371,-1.15649,-0.22864863,-1.1389511
-1.8925426,0.38426688,-0.4984417,-0.47631994,2.6478825,0.032392826,0.08874828,-0.20774196,-0.66493416,1.2302538,0.6255727,1.0234814,0.07572611,0.5065586,-0.27377766,0.7614727
-0.7885138,-1.2125294,-0.6447376,0.28861535,1.7755225,0.69255906,-0.11751703,0.23475903,-0.63640714,-0.6138092,0.39084667,1.2286801,1.1574314,-0.7886312,-1.1638606,0.93632036
-0.1397911,-0.15845002,0.0281086,1.2544827,0.24356358,-0.26372382,0.09283274,0.43350253,0.62916243,-0.45741412,-0.97031146,0.9604305,-0.45787024,-0.048963193,-0.56403697,0.78303885
-1.1880313,-0.42288628,-1.2599097,0.75228584,-0.9224225,-2.8192804,1.177003,-0.06727983,0.63984203,-0.92712957,-1.5278095,0.28194264,-0.7473175,-0.075897075,0.7385519,1.0207616
-0.34347284,0.73495716,0.36130586,-0.42741588,-0.028292889,-1.5691639,-1.0371104,-0.51442534,1.3465855,-0.22753023,0.29255557,-0.29792547,-0.46463457,0.53993,0.7681249,0.826777
-0.3422436,0.84814924,-1.301838,0.7689212,-0.54390293,0.13794233,0.06981725,0.19161732,0.7548862,0.6779119,-0.32542327,-1.305196,-1.2644186,-0.48990205,-1.2889965,0.22897118
-1.4278902,-0.4445497,-0.35865262,1.0675215,-0.62496835,-0.4929349,1.0958185,-0.84605175,1.6544974,1.1160926,0.45172778,-1.0949504,1.7307752,1.7957659,-0.1442869,0.48639393
-0.7943105,0.5084913,0.22403792,-0.27375323,0.96040887,-0.36286548,-0.44327763,0.2906256,1.0968,-1.064803,0.07639075,-0.110097125,0.5497668,1.246326,-2.0269248,0.53538823
-0.030827748,0.913715,-0.14519128,-1.1056992,-1.6760734,-0.7399222,0.72013396,-0.31515235,-0.04144811,-0.9144763,-0.2021954,0.7765887,0.23493375,-0.62622994,1.5810643,0.7828414
-1.6148772,0.562941,0.4771681,-1.2749441,-1.5009925,-0.049349938,-0.43748483,1.0980452,1.5423065,1.0700041,0.89905685,-1.5855281,0.9077924,1.0720856,-0.6132984,0.38268042
